Heptano,
% T,Número de ondas
"3,650.00",99.308409
"3,649.00",99.286518
"3,648.00",99.43554
"3,647.00",99.499727
"3,646.00",99.449346
"3,645.00",99.382985
"3,644.00",99.364684
"3,643.00",99.406614
"3,642.00",99.495533
"3,641.00",99.608796
"3,640.00",99.722146
"3,639.00",99.811721
"3,638.00",99.866945
"3,637.00",99.893531
"3,636.00",99.88708
"3,635.00",99.819532
"3,634.00",99.671632
"3,633.00",99.468647
"3,632.00",99.263587
"3,631.00",99.09313
"3,630.00",98.97412
"3,629.00",98.951948
"3,628.00",99.022634
"3,627.00",99.139027
"3,626.00",99.270484
"3,625.00",99.383168
"3,624.00",99.458976
"3,623.00",99.508859
"3,622.00",99.557293
"3,621.00",99.614078
"3,620.00",99.65503
"3,619.00",99.63457
"3,618.00",99.535034
"3,617.00",99.397538
"3,616.00",99.283784
"3,615.00",99.226188
"3,614.00",99.203555
"3,613.00",99.149986
"3,612.00",99.046521
"3,611.00",98.972568
"3,610.00",99.034521
"3,609.00",99.262311
"3,608.00",99.547067
"3,607.00",99.725909
"3,606.00",99.748292
"3,605.00",99.691518
"3,604.00",99.642521
"3,603.00",99.620383
"3,602.00",99.596396
"3,601.00",99.552979
"3,600.00",99.510078
"3,599.00",99.496692
"3,598.00",99.525094
"3,597.00",99.583242
"3,596.00",99.65513
"3,595.00",99.719515
"3,594.00",99.738982
"3,593.00",99.682592
"3,592.00",99.563669
"3,591.00",99.427182
"3,590.00",99.311593
"3,589.00",99.248383
"3,588.00",99.285224
"3,587.00",99.397462
"3,586.00",99.472389
"3,585.00",99.484945
"3,584.00",99.486318
"3,583.00",99.510187
"3,582.00",99.562335
"3,581.00",99.63085
"3,580.00",99.697874
"3,579.00",99.748292
"3,578.00",99.777718
"3,577.00",99.794907
"3,576.00",99.811252
"3,575.00",99.830783
"3,574.00",99.843576
"3,573.00",99.84205
"3,572.00",99.837109
"3,571.00",99.849558
"3,570.00",99.865341
"3,569.00",99.815549
"3,568.00",99.68357
"3,567.00",99.588481
"3,566.00",99.568062
"3,565.00",99.548928
"3,564.00",99.522236
"3,563.00",99.533265
"3,562.00",99.603098
"3,561.00",99.713297
"3,560.00",99.821585
"3,559.00",99.8891
"3,558.00",99.89869
"3,557.00",99.859685
"3,556.00",99.799151
"3,555.00",99.751299
"3,554.00",99.74332
"3,553.00",99.774981
"3,552.00",99.806512
"3,551.00",99.795016
"3,550.00",99.734184
"3,549.00",99.639443
"3,548.00",99.527395
"3,547.00",99.432946
"3,546.00",99.407473
"3,545.00",99.468119
"3,544.00",99.582414
"3,543.00",99.707013
"3,542.00",99.809974
"3,541.00",99.870718
"3,540.00",99.884898
"3,539.00",99.869629
